,food,Saturated Fats,Nutrition Density,Protein,Dietary Fiber,Caloric Value,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Rasio Lemak Jenuh ke Protein,Rasio Lemak Jenuh ke Serat,Fat Category
229,tomato vegetable soup,0.4,36.4,1.9,0.7,54,0.3,0.054,9.9,0.2105263157894737,0.5714285714285715,Normal Fat
230,cream of rice coup,0.07,38.5,2.2,0.2,127,0.071,0.032,28.1,0.03181818181818182,0.35000000000000003,Normal Fat
231,cream of celery soup,2.8,116.189,3.3,1.5,181,2.6,5.0,17.7,0.8484848484848485,1.8666666666666665,Normal Fat
232,chicken gravy,3.4,80.872,4.6,1.0,188,6.1,3.6,12.9,0.7391304347826088,3.4,Normal Fat
233,tomato rice soup,1.0,134.933,4.2,3.4,240,1.2,2.7,44.1,0.23809523809523808,0.29411764705882354,Normal Fat
234,vegetable beef soup,0.6,34.1,18.1,4.4,128,0.7,0.3,9.6,0.03314917127071823,0.13636363636363635,Normal Fat
235,tomato beef noodle soup,3.2,100.1,8.9,3.0,281,3.5,1.4,42.3,0.3595505617977528,1.0666666666666667,Normal Fat
236,oyster stew soup,5.0,72.8,4.2,0.0,118,1.8,0.3,8.2,1.1904761904761905,,Normal Fat
237,ramen noodle soup dry,6.4,106.5,8.9,2.0,371,5.6,1.2,53.9,0.7191011235955056,3.2,Normal Fat
238,chicken noodle soup,1.2,33.513,7.2,2.7,145,1.6,1.0,18.4,0.16666666666666666,0.4444444444444444,Normal Fat
239,chicken bouillon dry,0.1,9.502,0.7,0.0,11,0.2,0.2,0.7,0.14285714285714288,,Normal Fat
240,cream of asparagus soup,2.1,100.43,4.6,1.0,174,1.9,3.7,21.5,0.4565217391304348,2.1,Normal Fat
241,turkey noodle soup,1.1,55.582,7.8,1.5,139,1.6,1.0,17.3,0.14102564102564105,0.7333333333333334,Normal Fat
242,cream of shrimp soup,6.5,69.41,5.6,0.5,181,3.0,0.4,16.5,1.1607142857142858,13.0,Normal Fat
243,bean with pork soup,3.0,249.324,15.3,15.3,335,4.2,3.5,44.1,0.19607843137254902,0.19607843137254902,Normal Fat
244,chicken broth,0.008,33.6,1.0,0.0,12,0.1,0.042,1.0,0.008,,Normal Fat
245,beef broth powder,0.2,3.739,0.6,0.0,8,0.1,0.04,0.6,0.33333333333333337,,Normal Fat
246,split pea soup,0.8,91.6,9.7,4.8,180,0.9,0.4,29.9,0.08247422680412372,0.16666666666666669,Normal Fat
247,escarole soup,1.2,95.0,3.4,0.0,61,1.8,0.8,4.0,0.35294117647058826,,Normal Fat
248,chicken stock,0.8,25.696,6.0,0.0,86,1.4,0.5,8.5,0.13333333333333333,,Normal Fat
249,tomato bisque soup,1.1,152.913,4.5,2.1,248,1.4,2.2,47.7,0.24444444444444446,0.5238095238095238,Normal Fat
250,shark fin soup,1.1,43.2,6.9,0.0,99,1.3,0.7,8.2,0.15942028985507248,,Normal Fat
251,onion soup,0.5,87.173,7.5,1.7,113,1.5,1.3,16.4,0.06666666666666667,0.29411764705882354,Normal Fat
252,chicken gumbo soup,0.7,88.8,5.3,4.0,113,1.3,0.7,16.8,0.1320754716981132,0.175,Normal Fat
253,crab soup,0.2,120.3,10.4,2.4,95,0.2,0.3,12.5,0.019230769230769232,0.08333333333333334,Normal Fat
254,tripe soup,2.1,75.9,17.2,0.0,148,2.2,0.6,8.1,0.12209302325581396,,Normal Fat
255,little india little lunch,15.6,12.6,0.0,0.0,164,12.2,1.4,2.0,inf,,High Fat
256,original chicken sandwich chick fil a,11.6,5.1,0.0,0.0,125,7.9,0.6,0.0,inf,,High Fat
257,sausage mcmuffin mcdonalds,8.3,328.5,14.6,1.6,383,8.9,3.7,28.2,0.5684931506849316,5.1875,Normal Fat
258,sausage mcgriddles mcdonalds,7.3,166.0,11.4,1.4,421,10.2,3.5,42.2,0.6403508771929824,5.214285714285714,Normal Fat
259,crispy chicken drumstick kentucky fried chicken,0.8,20.632,10.6,0.0,70,1.2,0.8,0.0,0.07547169811320756,,Normal Fat
260,chicken crispy drumsticks kentucky fried chicken,2.2,41.248,11.8,0.0,156,3.4,3.6,4.5,0.1864406779661017,,Normal Fat
261,biscuit kentucky fried chicken,2.2,68.5,3.8,0.8,185,6.1,0.6,22.1,0.5789473684210527,2.75,Normal Fat
262,english muffin mcdonalds,1.1,24.548,5.7,0.2,97,15.4,1.1,2.9,0.1929824561403509,5.5,Normal Fat
263,french fries mcdonalds,2.7,77.129,4.0,4.6,378,8.6,5.5,49.8,0.675,0.5869565217391305,Normal Fat
264,hotdog,8.1,109.0,16.4,0.0,383,10.8,2.7,28.5,0.49390243902439024,,Normal Fat
265,french fries burger king,1.6,42.635,2.4,2.1,207,2.4,4.4,28.6,0.6666666666666667,0.7619047619047619,Normal Fat
266,original taco with beef cheese lettuce taco bell,3.0,93.8,6.1,2.7,158,3.0,2.1,13.7,0.49180327868852464,1.111111111111111,Normal Fat
267,hotdog with chili,4.9,83.6,13.5,0.0,296,6.6,1.2,31.3,0.362962962962963,,Normal Fat
268,chicken crispy wings kentucky fried chicken,2.1,40.161,9.2,0.0,148,3.3,3.8,5.1,0.2282608695652174,,Normal Fat
269,egg white delight mcdonalds,4.0,16.0,0.0,0.0,250,18.0,4.0,0.0,inf,,Normal Fat
270,french toast sticks burger king,0.8,25.5,1.3,0.3,73,2.0,0.5,8.7,0.6153846153846154,2.666666666666667,Normal Fat
271,mcchicken mcdonalds,3.1,69.5,13.7,1.7,358,5.8,6.5,36.6,0.22627737226277375,1.823529411764706,Normal Fat
272,nachos supreme taco bell,7.8,241.0,14.8,8.0,480,13.7,2.8,45.0,0.527027027027027,0.975,Normal Fat
273,crispy chicken wing kentucky fried chicken,1.1,32.851,12.6,0.0,104,1.7,1.8,1.3,0.08730158730158731,,Normal Fat
274,chicken strips burger king,1.0,20.168,6.6,0.5,105,1.5,2.7,7.4,0.15151515151515152,2.0,Normal Fat
275,crispy chicken breast kentucky fried chicken,1.7,74.065,38.2,0.0,214,2.4,2.3,0.4,0.04450261780104712,,Normal Fat
276,sausage biscuit mcdonalds,12.5,141.05,11.3,1.4,440,10.3,4.0,31.8,1.1061946902654867,8.928571428571429,High Fat
277,sausage burrito mcdonalds,6.1,261.627,13.0,1.2,339,6.5,2.4,24.2,0.46923076923076923,5.083333333333333,Normal Fat
278,onion rings fried,0.3,12.551,0.3,0.2,27,0.4,0.8,2.8,1.0,1.4999999999999998,Normal Fat
279,onion rings burger king,3.8,175.4,3.5,2.5,379,6.3,11.1,39.7,1.0857142857142856,1.52,Normal Fat
280,turkey patty fried,1.3,17.934,3.9,0.1,79,2.1,1.3,4.4,0.33333333333333337,13.0,Normal Fat
281,hotcakes with syrup mcdonalds,1.8,259.4,9.0,2.0,601,1.9,4.6,101.8,0.2,0.9,Normal Fat
282,crispy chicken thigh kentucky fried chicken,2.5,49.591,20.4,0.0,163,3.8,2.1,0.0,0.12254901960784315,,Normal Fat
283,corn dog,2.7,38.257,6.7,0.8,195,3.7,2.6,21.0,0.40298507462686567,3.375,Normal Fat
284,chicken box mcdonalds,0.8,9.7,0.2,0.0,70,2.8,0.011,5.5,4.0,,Normal Fat
285,potato wedges kentucky fried chicken,4.0,110.6,5.4,4.2,379,11.9,2.4,45.0,0.7407407407407407,0.9523809523809523,Normal Fat
286,scrambled eggs mcdonalds,2.1,50.931,7.7,0.0,98,2.7,1.1,0.9,0.2727272727272727,,Normal Fat
287,egg mcmuffin mcdonalds,4.5,58.5,17.2,1.4,287,3.4,2.2,27.3,0.2616279069767442,3.2142857142857144,Normal Fat
288,nachos taco bell,4.7,156.0,5.1,3.8,362,12.6,2.6,36.0,0.9215686274509804,1.236842105263158,Normal Fat
289,biscuit large mcdonalds,8.3,132.022,5.5,1.8,310,3.4,2.0,39.4,1.5090909090909093,4.611111111111112,Normal Fat
290,crispy chicken strips kentucky fried chicken,1.4,35.9,9.5,0.7,129,2.0,3.2,6.4,0.14736842105263157,2.0,Normal Fat
291,hotcakes mcdonalds,0.6,68.2,3.0,0.7,113,0.6,1.5,19.0,0.19999999999999998,0.8571428571428572,Normal Fat
292,chicken crispy breast kentucky fried chicken,5.0,103.428,29.7,0.0,375,7.6,8.8,11.9,0.16835016835016836,,Normal Fat
293,hotcakes sausage mcdonalds,7.3,292.7,15.5,2.1,776,9.0,6.5,102.4,0.47096774193548385,3.476190476190476,Normal Fat
294,chicken mcnuggets mcdonalds,0.5,8.181,2.5,0.0,48,1.3,0.9,2.4,0.2,,Normal Fat
295,chips chipotle,0.9,9.4,0.2,0.0,151,19.3,1.1,2.1,4.5,,Normal Fat
296,biscuit mcdonalds,7.0,111.687,4.7,1.5,261,2.8,1.7,33.3,1.4893617021276595,4.666666666666667,Normal Fat
297,rice bowl with chicken,0.01,13.178,1.6,0.2,36,0.1,0.1,6.4,0.0062499999999999995,0.049999999999999996,Normal Fat
298,spaghetti with meatballs,2.9,45.656,8.7,5.4,200,3.3,1.1,22.9,0.33333333333333337,0.537037037037037,Normal Fat
299,meat ravioli canned,3.7,94.963,8.9,4.2,259,4.2,0.6,36.0,0.4157303370786517,0.8809523809523809,Normal Fat
300,cheese ravioli canned,1.7,127.3,6.0,3.1,186,1.0,0.4,33.0,0.2833333333333333,0.5483870967741935,Normal Fat
301,premium crispy chicken ranch blt sandwich mcdonalds,4.7,219.1,35.3,3.4,586,9.1,7.8,59.8,0.1331444759206799,1.3823529411764708,Normal Fat
302,steak sandwich,3.8,198.9,30.3,0.0,459,5.3,3.3,52.0,0.1254125412541254,,Normal Fat
303,cheeseburger burger king,9.1,201.6,19.4,3.7,380,7.6,2.0,31.5,0.4690721649484536,2.459459459459459,Normal Fat
304,cheeseburger mcdonalds,5.3,266.0,15.4,1.3,313,4.3,0.4,33.1,0.34415584415584416,4.076923076923077,Normal Fat
305,double cheeseburger,15.9,119.347,37.0,2.1,643,13.7,3.0,41.0,0.4297297297297297,7.571428571428571,High Fat
306,double hamburger,21.6,169.626,52.1,5.2,942,22.9,11.3,51.4,0.4145873320537428,4.153846153846154,High Fat
307,premium grilled chicken classic sandwich mcdonalds,1.7,167.718,28.3,2.8,366,2.3,4.1,44.6,0.06007067137809187,0.6071428571428572,Normal Fat
308,big n tasty with cheese mcdonalds,10.8,339.7,27.2,3.2,573,10.7,7.1,39.7,0.3970588235294118,3.375,High Fat
309,premium grilled chicken club sandwich mcdonalds,6.4,328.1,38.3,2.7,493,5.6,4.8,44.3,0.16710182767624024,2.3703703703703702,Normal Fat
310,quarter pounder mcdonalds,6.9,233.7,24.1,2.7,417,7.2,0.5,37.9,0.2863070539419087,2.5555555555555554,Normal Fat
311,premium crispy chicken classic sandwich mcdonalds,3.2,196.9,27.8,3.2,524,7.3,8.5,58.6,0.11510791366906475,1.0,Normal Fat
312,veggie burger,1.0,128.9,11.0,3.4,124,1.2,1.4,10.0,0.09090909090909091,0.29411764705882354,Normal Fat
313,quarter pounder with cheese mcdonalds,11.2,392.2,29.0,2.8,513,9.2,0.9,39.7,0.38620689655172413,4.0,High Fat
314,beef sandwich steak raw,6.5,32.0,9.2,0.0,173,6.2,0.3,0.0,0.7065217391304348,,Normal Fat
315,cheeseburger,6.0,60.289,15.0,1.6,292,5.1,1.4,28.7,0.4,3.75,Normal Fat
316,premium grilled chicken ranch blt sandwich mcdonalds,3.0,181.4,33.7,2.8,412,3.8,3.4,44.3,0.08902077151335311,1.0714285714285714,Normal Fat
317,double whopper with cheese burger king,27.9,519.2,57.7,6.4,1061,25.1,11.9,53.9,0.48353552859618715,4.359374999999999,High Fat
318,big mac mcdonalds,8.3,365.5,25.9,3.5,563,7.6,0.7,44.0,0.3204633204633205,2.3714285714285714,Normal Fat
319,sandwich with cold cuts,13.9,166.871,41.1,4.7,833,14.5,7.5,79.9,0.3381995133819951,2.9574468085106385,High Fat
320,filet o fish mcdonalds,3.8,235.3,15.1,1.9,378,5.4,8.0,35.4,0.25165562913907286,2.0,Normal Fat
321,hand breaded chicken tenders carls jr,0.6,3.1,0.0,0.0,57,2.9,5.5,0.2,inf,,Normal Fat
322,grilled chicken sandwich wendys,42.0,8.0,0.0,0.0,370,34.0,0.0,0.0,inf,,High Fat
323,sandwich with roast beef,7.1,135.393,28.6,0.0,410,1.8,2.6,44.3,0.24825174825174823,,Normal Fat
324,hamburger burger king,3.8,54.28,14.7,2.0,258,4.2,1.2,26.5,0.2585034013605442,1.9,Normal Fat
325,big n tasty mcdonalds,8.6,257.7,24.7,3.2,524,9.7,6.9,38.5,0.3481781376518219,2.6874999999999996,Normal Fat
326,roast beef sandwich,5.1,73.951,22.6,1.9,364,5.9,2.6,33.1,0.22566371681415925,2.6842105263157894,Normal Fat
327,roast beef sandwich with cheese,9.0,283.72,32.2,0.0,473,3.7,3.5,45.4,0.2795031055900621,,Normal Fat
328,hamburger,3.5,53.859,12.9,1.7,255,3.7,1.3,28.7,0.2713178294573643,2.058823529411765,Normal Fat
329,premium fish sandwich burger king,4.3,195.8,22.6,2.0,572,5.7,13.8,58.7,0.1902654867256637,2.15,Normal Fat
330,whopper burger king,18.3,405.8,35.4,3.2,790,16.0,12.0,52.8,0.516949152542373,5.71875,High Fat
331,sandwich with tuna salad,5.3,193.569,29.7,0.0,584,13.4,7.3,55.4,0.17845117845117844,,Normal Fat
332,original chicken sandwich burger king,5.4,205.9,24.2,4.8,569,7.4,14.4,52.2,0.22314049586776863,1.1250000000000002,Normal Fat
333,double whopper burger king,21.6,309.4,52.1,5.2,942,22.9,11.3,51.4,0.4145873320537428,4.153846153846154,High Fat
334,premium crispy chicken club sandwich mcdonalds,8.5,376.2,39.1,3.0,635,10.7,9.0,57.4,0.21739130434782608,2.8333333333333335,Normal Fat
335,hamburger mcdonalds,3.3,52.357,12.3,1.2,251,3.6,1.3,28.8,0.26829268292682923,2.75,Normal Fat
336,pepperoni pizza dominos,5.4,226.5,12.7,2.4,308,3.8,2.4,36.0,0.42519685039370086,2.2500000000000004,Normal Fat
337,sausage pizza,5.8,66.337,13.3,2.7,325,4.7,2.7,35.5,0.43609022556390975,2.148148148148148,Normal Fat
338,pepperoni pizza,5.7,64.836,13.0,2.6,313,4.3,2.3,35.5,0.43846153846153846,2.1923076923076925,Normal Fat
339,pepperoni pizza pizza hut,5.0,206.086,12.3,1.6,269,3.9,2.0,30.3,0.4065040650406504,3.125,Normal Fat
340,cheese pizza pizza hut,4.8,256.272,11.5,1.7,260,2.8,1.8,30.0,0.41739130434782606,2.823529411764706,Normal Fat
341,cheese pizza,4.8,61.304,12.2,2.5,285,2.8,1.8,35.7,0.39344262295081966,1.92,Normal Fat
342,cheese pizza dominos,4.4,243.663,11.7,2.4,278,2.3,2.0,35.9,0.3760683760683761,1.8333333333333335,Normal Fat
343,meat vegetable pizza,6.0,233.148,15.0,3.0,332,5.2,2.6,34.5,0.4,2.0,Normal Fat
344,sucker raw,0.7,143.779,26.6,0.0,146,1.1,1.3,0.0,0.02631578947368421,,Normal Fat
345,northern pike raw,0.5,321.946,76.3,0.0,348,0.6,0.8,0.0,0.006553079947575361,,Normal Fat
346,haddock cooked,0.2,52.159,30.0,0.0,135,0.1,0.3,0.0,0.006666666666666667,,Normal Fat
347,burbot cooked,0.2,81.891,22.3,0.0,104,0.2,0.3,0.0,0.008968609865470852,,Normal Fat
348,pollock cooked,0.5,313.428,75.3,0.0,356,0.4,1.9,0.0,0.006640106241699867,,Normal Fat
349,rainbow smelt raw,0.1,23.004,5.0,0.0,27,0.2,0.3,0.0,0.02,,Normal Fat
350,whitefish cooked,1.8,100.864,37.7,0.0,265,3.9,4.2,0.0,0.04774535809018567,,Normal Fat
351,walleye pike raw,0.4,209.316,30.4,0.0,148,0.5,0.7,0.0,0.013157894736842106,,Normal Fat
352,carp cooked,2.4,144.989,38.9,0.0,275,5.1,3.1,0.0,0.061696658097686374,,Normal Fat
353,wolffish cooked,1.1,80.3,53.4,0.0,293,2.6,2.6,0.0,0.02059925093632959,,Normal Fat
354,snapper cooked,0.6,118.742,44.7,0.0,218,0.5,1.0,0.0,0.013422818791946307,,Normal Fat
355,roe cooked,0.5,23.609,8.1,0.0,58,0.6,1.0,0.5,0.0617283950617284,,Normal Fat
356,anchovy raw,0.4,49.714,5.8,0.0,37,0.3,0.5,0.0,0.06896551724137931,,Normal Fat
357,herring raw,3.8,157.898,33.0,0.0,291,6.9,3.9,0.0,0.11515151515151514,,Normal Fat
358,cod raw,0.3,82.88,41.1,0.0,189,0.2,0.5,0.0,0.0072992700729927005,,Normal Fat
359,tilapia raw,0.7,37.5,23.3,0.0,111,0.6,0.4,0.0,0.03004291845493562,,Normal Fat
360,whiting cooked,0.3,63.037,16.9,0.0,84,0.3,0.4,0.0,0.01775147928994083,,Normal Fat
361,skipjack tuna cooked,1.3,212.936,86.9,0.0,407,0.7,1.2,0.0,0.014959723820483314,,Normal Fat
362,salmon cooked,8.5,190.7,78.7,0.0,733,14.9,16.2,0.0,0.10800508259212198,,Normal Fat
363,chum salmon cooked,3.3,139.8,79.5,0.0,474,6.1,3.5,0.0,0.04150943396226415,,Normal Fat
364,american shad cooked,0.0,144.967,31.3,0.0,363,0.0,0.0,0.0,0.0,,Normal Fat
365,shark cooked,0.9,25.548,5.3,0.0,65,1.7,1.0,1.8,0.169811320754717,,Normal Fat
366,trout cooked,0.9,57.496,16.5,0.0,118,2.6,1.2,0.0,0.05454545454545455,,Normal Fat
367,swordfish raw,2.2,43.072,26.7,0.0,196,4.0,1.6,0.0,0.08239700374531836,,Normal Fat
368,rainbow trout cooked,1.2,22.557,16.9,0.0,119,1.7,1.3,0.0,0.07100591715976332,,Normal Fat
369,fish sandwich with cheese,3.8,235.0,15.1,0.0,374,5.4,8.0,35.4,0.25165562913907286,,Normal Fat
370,jellyfish dried,0.2,6.517,3.2,0.0,21,0.1,0.3,0.0,0.0625,,Normal Fat
371,mullet raw,1.3,78.949,23.0,0.0,139,1.3,0.9,0.0,0.05652173913043478,,Normal Fat
372,halibut cooked,1.1,78.934,71.7,0.0,353,1.8,1.1,0.0,0.015341701534170154,,Normal Fat
373,lingcod raw,0.5,82.778,44.2,0.0,213,0.9,0.8,0.0,0.011312217194570135,,Normal Fat
374,orange roughy cooked,0.046,10.146,6.4,0.0,30,0.1,0.076,0.0,0.0071874999999999994,,Normal Fat
375,cisco raw,0.3,26.367,15.0,0.0,77,0.4,0.5,0.0,0.02,,Normal Fat
376,florida pompano cooked,4.0,69.911,20.8,0.0,186,2.9,1.3,0.0,0.1923076923076923,,Normal Fat
377,snapper raw,0.6,121.32,44.7,0.0,218,0.5,1.0,0.0,0.013422818791946307,,Normal Fat
378,fish sandwich,4.3,109.3,22.6,0.0,565,5.7,13.8,58.7,0.1902654867256637,,Normal Fat
379,haddock raw,0.2,53.952,31.5,0.0,143,0.1,0.3,0.0,0.006349206349206349,,Normal Fat
380,ocean perch raw,0.2,28.835,9.8,0.0,51,0.3,0.2,0.0,0.02040816326530612,,Normal Fat
381,cuttlefish cooked,0.08,66.521,9.2,0.0,45,0.061,0.061,0.5,0.008695652173913044,,Normal Fat
382,cod cooked,0.3,70.534,41.1,0.0,189,0.2,0.5,0.0,0.0072992700729927005,,Normal Fat
383,seatrout raw,2.4,89.528,39.8,0.0,248,2.1,1.7,0.0,0.06030150753768845,,Normal Fat
384,flounder raw,0.7,57.837,20.2,0.0,114,0.9,0.6,0.0,0.03465346534653465,,Normal Fat
385,spot cooked,0.9,24.239,11.9,0.0,79,0.9,0.7,0.0,0.07563025210084033,,Normal Fat
386,walleye pike cooked,0.4,209.213,30.4,0.0,148,0.5,0.7,0.0,0.013157894736842106,,Normal Fat
387,perch raw,0.1,61.715,11.6,0.0,55,0.081,0.2,0.0,0.008620689655172414,,Normal Fat
388,pumpkin seed sunfish raw,0.051,49.154,9.3,0.0,43,0.016,0.1,0.0,0.005483870967741934,,Normal Fat
389,salt mackerel,9.7,151.025,25.2,0.0,415,11.3,8.4,0.0,0.3849206349206349,,Normal Fat
390,mackerel cooked,3.7,51.733,21.0,0.0,231,6.2,3.8,0.0,0.1761904761904762,,Normal Fat
391,tilapia cooked,0.8,37.9,22.8,0.0,111,0.8,0.5,0.0,0.03508771929824561,,Normal Fat
392,drum raw,2.2,167.2,34.7,0.0,236,4.3,2.3,0.0,0.06340057636887608,,Normal Fat
393,atlantic croaker fried,3.0,62.209,15.8,0.3,192,4.6,2.5,6.6,0.18987341772151897,10.0,Normal Fat
394,pumpkin seed sunfish cooked,0.025,48.674,9.2,0.0,42,0.083,0.1,0.0,0.0027173913043478264,,Normal Fat
395,wolffish raw,1.1,79.9,53.6,0.0,294,2.6,2.6,0.0,0.020522388059701493,,Normal Fat
396,bluefin tuna cooked,2.4,72.4,44.9,0.0,276,3.1,2.8,0.0,0.053452115812917596,,Normal Fat
397,scup cooked,0.0,39.718,12.1,0.0,68,0.0,0.0,0.0,0.0,,Normal Fat
398,herring cooked,3.7,158.304,32.9,0.0,290,6.8,3.9,0.0,0.11246200607902737,,Normal Fat
399,bluefish raw,1.4,47.9,30.1,0.0,186,2.7,1.6,0.0,0.04651162790697674,,Normal Fat
400,sheepshead cooked,0.7,121.48,48.4,0.0,234,0.7,0.7,0.0,0.01446280991735537,,Normal Fat
401,bass cooked,0.6,84.379,15.0,0.0,91,1.1,0.8,0.0,0.04,,Normal Fat
402,pout cooked,1.1,98.207,58.4,0.0,279,1.2,0.1,0.0,0.018835616438356167,,Normal Fat
403,chinook salmon raw,12.3,240.5,78.9,0.0,709,17.4,11.1,0.0,0.155893536121673,,High Fat
404,rockfish raw,0.7,65.002,35.1,0.0,172,0.7,0.8,0.0,0.01994301994301994,,Normal Fat
405,tilefish raw,1.7,177.901,67.6,0.0,371,2.2,2.3,0.0,0.02514792899408284,,Normal Fat
406,scup raw,1.1,103.111,31.3,0.0,174,0.9,1.7,0.0,0.035143769968051124,,Normal Fat
407,sablefish cooked,12.4,252.4,51.9,0.0,755,31.2,7.9,0.0,0.23892100192678228,,High Fat
408,tuna salad,3.2,112.727,32.9,0.0,383,5.9,8.5,19.3,0.09726443768996962,,Normal Fat
409,coho salmon cooked,2.8,66.478,34.7,0.0,255,5.2,2.8,0.0,0.08069164265129682,,Normal Fat
410,roe raw,0.2,9.553,3.1,0.0,20,0.2,0.4,0.2,0.06451612903225806,,Normal Fat
411,sea bass raw,0.7,39.739,23.8,0.0,125,0.5,1.0,0.0,0.02941176470588235,,Normal Fat
412,pink salmon cooked,2.2,69.873,56.0,0.0,349,3.7,2.2,0.0,0.03928571428571429,,Normal Fat
413,sockeye salmon cooked,3.0,102.315,82.1,0.0,493,5.8,4.1,0.0,0.03654080389768575,,Normal Fat
414,whitefish raw,1.8,101.603,37.8,0.0,265,4.0,4.3,0.0,0.04761904761904762,,Normal Fat
415,greenland halibut cooked,9.9,130.404,58.6,0.0,760,34.2,5.6,0.0,0.16894197952218432,,Normal Fat
416,northern pike cooked,0.5,319.506,76.5,0.0,350,0.6,0.8,0.0,0.006535947712418301,,Normal Fat
417,salmon raw,12.1,186.3,80.9,0.0,824,14.9,15.4,0.0,0.1495673671199011,,High Fat
418,turbot cooked,0.0,157.453,65.4,0.0,388,0.0,0.0,0.0,0.0,,Normal Fat
419,surimi,0.059,9.072,4.3,0.0,28,0.043,0.1,1.9,0.013720930232558139,,Normal Fat
420,chinook salmon cooked,9.9,222.5,79.2,0.0,711,17.7,8.2,0.0,0.125,,Normal Fat
421,mullet cooked,1.3,58.866,23.1,0.0,140,1.3,0.9,0.0,0.05627705627705627,,Normal Fat
422,chum salmon raw,0.08,1.025,0.6,0.0,3,0.035,0.037,0.0,0.13333333333333333,,Normal Fat
423,butterfish raw,1.1,15.332,5.5,0.0,47,1.1,0.2,0.0,0.2,,Normal Fat
424,sea bass cooked,0.7,40.067,23.9,0.0,125,0.5,1.0,0.0,0.029288702928870293,,Normal Fat
425,greenland halibut raw,9.9,130.06,58.6,0.0,759,34.2,5.6,0.0,0.16894197952218432,,Normal Fat
426,halibut raw,1.2,110.481,75.7,0.0,371,1.9,1.2,0.0,0.015852047556142668,,Normal Fat
427,sturgeon cooked,1.6,59.9,28.2,0.0,184,3.4,1.2,0.0,0.056737588652482275,,Normal Fat
428,fish fillet fried,2.6,58.716,13.3,0.5,211,2.3,5.7,15.4,0.19548872180451127,5.2,Normal Fat
429,rainbow trout raw,1.1,43.047,15.8,0.0,111,1.6,1.2,0.0,0.06962025316455696,,Normal Fat
430,pout raw,1.1,98.078,58.6,0.0,278,1.2,0.1,0.0,0.01877133105802048,,Normal Fat
431,rainbow smelt cooked,0.2,29.428,6.4,0.0,35,0.2,0.3,0.0,0.03125,,Normal Fat
432,monkfish raw,0.079,7.21,4.1,0.0,22,0.074,0.2,0.0,0.019268292682926833,,Normal Fat
433,trout raw,0.9,57.297,16.4,0.0,117,2.6,1.2,0.0,0.05487804878048781,,Normal Fat
434,shark raw,0.3,17.064,5.9,0.0,37,0.5,0.3,0.0,0.05084745762711864,,Normal Fat
435,burbot raw,0.2,82.309,22.4,0.0,104,0.2,0.3,0.0,0.00892857142857143,,Normal Fat
436,dolphinfish cooked,0.4,71.625,37.7,0.0,173,0.2,0.3,0.0,0.010610079575596816,,Normal Fat
437,crayfish cooked,0.089,20.222,5.0,0.0,25,0.022,0.1,0.0,0.0178,,Normal Fat
438,dolphinfish raw,0.4,72.1,37.7,0.0,173,0.2,0.3,0.0,0.010610079575596816,,Normal Fat
439,perch cooked,0.1,60.112,11.4,0.0,54,0.029,0.2,0.0,0.008771929824561403,,Normal Fat
440,cusk raw,0.2,37.228,23.2,0.0,106,0.1,0.3,0.0,0.008620689655172414,,Normal Fat
441,bluefin tuna raw,0.4,10.8,6.6,0.0,41,0.5,0.4,0.0,0.060606060606060615,,Normal Fat
442,milkfish cooked,0.0,28.341,7.4,0.0,54,0.0,0.0,0.0,0.0,,Normal Fat
443,carp raw,2.4,146.793,38.9,0.0,277,5.1,3.1,0.0,0.061696658097686374,,Normal Fat
444,sturgeon raw,0.3,9.612,4.6,0.0,30,0.5,0.2,0.0,0.06521739130434782,,Normal Fat
445,orange roughy raw,0.057,7.672,4.6,0.0,22,0.051,0.086,0.0,0.012391304347826088,,Normal Fat
446,catfish fried,2.9,74.4,15.7,0.6,199,4.9,2.9,7.0,0.18471337579617836,4.833333333333333,Normal Fat
447,cuttlefish raw,0.002,33.734,4.6,0.0,22,0.088,0.069,0.2,0.0004347826086956522,,Normal Fat
448,bass raw,0.6,83.837,14.9,0.0,90,1.1,0.8,0.0,0.040268456375838924,,Normal Fat
449,flounder cooked,0.7,22.622,19.4,0.0,109,0.8,0.6,0.0,0.03608247422680413,,Normal Fat
450,milkfish raw,0.5,22.203,5.8,0.0,42,0.7,0.5,0.0,0.08620689655172414,,Normal Fat
451,eel raw,4.8,109.0,37.6,0.0,375,14.7,1.9,0.0,0.1276595744680851,,Normal Fat
452,catfish raw,2.1,46.7,24.2,0.0,189,4.1,1.8,0.0,0.08677685950413223,,Normal Fat
453,fish sticks,1.0,14.563,3.1,0.4,78,0.9,2.2,6.1,0.3225806451612903,2.5,Normal Fat
454,coho salmon raw,2.9,67.308,33.8,0.0,254,5.3,3.0,0.0,0.08579881656804735,,Normal Fat
455,monkfish cooked,0.0,9.165,5.3,0.0,27,0.0,0.0,0.0,0.0,,Normal Fat
456,yellowtail cooked,0.0,201.282,86.6,0.0,546,0.0,0.0,0.0,0.0,,Normal Fat
457,yellowfin tuna cooked,0.054,9.861,8.2,0.0,37,0.095,0.038,0.0,0.006585365853658537,,Normal Fat
458,ling cooked,0.0,105.731,36.8,0.0,168,0.0,0.0,0.0,0.0,,Normal Fat
459,eel cooked,0.9,19.3,6.7,0.0,67,2.6,0.3,0.0,0.13432835820895522,,Normal Fat
